Startup,Location,Sector,Date,Amount (US$),Investors,Stage,Debt/Equity,Female co-founder/CEO?,Local founder?,Intnl founder?,Launched?,Accelerator?,Employees,Funding Year
Flick,Nigeria,fintech,January,,ARM Lagos Techstars,Undisclosed,Equity,Yes,Yes,No,2021,Yes,15,2023
FrontEdge,Nigeria,fintech,November,"10,000,000.00",led by TLG Capital and also including Flexport.,Undisclosed,Equity,No,Yes,No,2021,No,3,2023
GetEquity,Nigeria,fintech,December,"120,000.00",Techstars,Undisclosed,Equity,Yes,Yes,No,2020,Yes,18,2023
Gwala,Morocco,fintech,February,,,Pre-seed,Equity,No,Yes,No,2022,Yes,15,2023
Haba,Nigeria,fintech,October,"75,000.00",,Pre-seed,Equity,No,Yes,No,2022,No,7,2023
Hedg,Nigeria,fintech,August,,,Pre-seed,Equity,No,Yes,No,2022,No,2,2023
Inclusivity Solutions,South Africa,fintech,November,"1,500,000.00",Goodwell Investments,Series A,Equity,No,Yes,No,2015,No,21,2023
Ivory Pay,Nigeria,fintech,March,,CV Labs,Undisclosed,Equity,No,Yes,No,2022,Yes,18,2023
JumpnPass,Nigeria,fintech,December,"120,000.00",Techstars,Undisclosed,Equity,No,Yes,No,2022,Yes,6,2023
Kawu,Uganda,fintech,October,"50,000.00",Baobab Network,Undisclosed,Equity,No,Yes,No,2021,Yes,8,2023
Konta,Morocco,fintech,March,"1,115,000.00",Azur Innovation Fund,Undisclosed,Equity,No,Yes,No,2018,No,5,2023
Koree,Cameroon,fintech,August,"88,000.00","Catalytic Africa, angel investors",Undisclosed,Equity,Yes,Yes,No,2022,No,16,2023
Kori Tech,Senegal,fintech,October,"18,000.00",Startupbootcamp AfriTech,Undisclosed,Equity,No,Yes,No,2019,Yes,5,2023
Kotani Pay,Kenya,fintech,September,"2,000,000.00","P1 Ventures, with participation from a  number of investors including DCG/Luno, Flori Ventures, Adaverse and Peer VC",Pre-seed,Equity,No,Yes,No,2020,Yes,21,2023
Kredete,Nigeria,fintech,May,,Techstars,Pre-Seed,Equity,No,Yes,No,2021,Yes,18,2023
Kwara,Kenya,fintech,January,"3,000,000.00","DOB Equity, Globivest, One Day Yes, Base Capital, Angel Investors",Seed,Equity,Yes,Yes,No,2018,Yes,62,2023
Kyanda,Kenya,fintech,January,"18,000.00",Startupbootcamp AfriTech,Undisclosed,Equity,No,Yes,No,2019,Yes,14,2023
Ladder,Ghana,fintech,September,,Techstars,Undisclosed,Equity,Yes,Yes,No,2021,Yes,5,2023
LeaseInsurance,South Africa,fintech,August,"161,000.00",Fedgroup Private Capital,Seed,Equity,No,Yes,No,2020,No,3,2023
Lemfi,Nigeria,fintech,August,"33,000,000.00","Left Lane Capital. Other investors included Y-Combinator, Zrosk, Global Founders Capital, and Olive Tree",Series A,Equity,No,Yes,Yes,2019,Yes,118,2023
Liquify,Nigeria,fintech,April,,Techstars,Undisclosed,Equity,Yes,Yes,No,2022,Yes,3,2023
Luca,Nigeria,fintech,April,,Techstars,Undisclosed,Equity,No,Yes,No,2022,Yes,10,2023
LulaLend,South Africa,fintech,February,"35,000,000.00","Lightrock, the global impact investor, with participation from new investors the German development finance institution DEG, Triodos Investment Management, and Women’s World Banking Asset Management, as well as existing investors the International Finance Corporation (IFC) and Quona Capital.",Series B,Equity,No,Yes,No,2014,No,171,2023
Lupiya,Zambia,fintech,September,"8,250,000.00","Alitheia IDF Fund, with substantial participation from INOKS Capital SA and the German Investment Bank KfW DEG",Series A,Equity,Yes,Yes,No,2016,Yes,36,2023
Lyrise,Egypt,fintech,January,,"Launch Africa, Plus Venture Capital, First Check Ventures, Techstars, Angel Investors",Pre-seed,Equity,No,Yes,No,2019,No,38,2023
Masroofi,Egypt,fintech,July,"1,500,000.00",,Undisclosed,Equity,No,Yes,No,2022,No,4,2023
Mazzuma,Ghana,fintech,June,,Adaverse,Undisclosed,Equity,No,Yes,No,2017,Yes,6,2023
Meekfi,Benin,fintech,May,,Tekedia Capital,Pre-Seed,Equity,No,Yes,No,2021,No,3,2023
Menthum,Egypt,fintech,July,,"A15, Acasia Ventures (known as Cairo Angels until announcing a rebrand late last year), and a number of prominent angel investors",Pre-seed,Equity,No,Yes,No,2022,No,10,2023
MoneyHash,Egypt,fintech,October,,Tom Preston-Werner,Undisclosed,Equity,Yes,Yes,No,2020,No,28,2023
Mosmos,Kenya,fintech,,"88,000.00","Antler, Sovereign's Capital, Startup Istanbul and Nairobi Business Angel Network (NaiBAN), Catalytic Africa",Undisclosed,Equity,Yes,Yes,No,2022,Yes,8,2023
Mtek,Kenya,fintech,December,,Founders Factory Africa,Seed,Equity,Yes,Yes,No,2019,Yes,18,2023
MuduPay,Guinea,fintech,June,"50,000.00",The Baobab Network,Undisclosed,Equity,Yes,Yes,No,2021,Yes,11,2023
My Easy Transfer,Tunisia,fintech,November,"420,000.00",216 Capital,Undisclosed,Equity,No,Yes,No,2022,No,5,2023
MyCover,Nigeria,fintech,July,"1,250,000.00","led by Ventures Platform, and also includes participation from Founders Factory Africa and Techstars",Pre-seed,Equity,No,Yes,No,2021,Yes,19,2023
Naked,South Africa,fintech,February,"17,000,000.00","IFC, DEG, Yellowwoods and Hollard",Series B,Equity,No,Yes,No,2018,No,107,2023
Nestcoin,Nigeria,fintech,September,"1,900,000.00","Hashed Emergent, a Web2.5 fund for builders from emerging markets, led the round. Alter Global, Magic Fund, CMT Digital, and 4DX Ventures are among the existing investors that took part. Adaverse and Base Ecosystem Fund, two new investors, also participated.",Undisclosed,Equity,No,Yes,No,2021,No,37,2023
Nomba,Nigeria,fintech,May,"30,000,000.00","Base10 Partners, with participation from Helios Digital Ventures, Shopify, Partech and Khosla Ventures",Pre-Series B,Equity,No,Yes,No,2017,Yes,334,2023
Nyayomat,Kenya,fintech,March,,CV Labs,Undisclosed,Equity,No,Yes,No,2019,Yes,4,2023
Octamile,Nigeria,fintech,June,,Norrsken,Undisclosed,Equity,No,Yes,No,2021,Yes,13,2023
Oko Finance,Mali,fintech,December,,Morgan Stanley Investment Management,Undisclosed,Equity,No,No,Yes,2017,Yes,33,2023
OnePlan,Ghana,fintech,December,"120,000.00",Techstars,Undisclosed,Equity,No,Yes,No,2022,Yes,11,2023
ORA Technologies,Morocco,fintech,October,,Angel investors,Pre-seed,Equity,Yes,Yes,No,2023,No,42,2023
Oval,Nigeria,fintech,September,,Techstars,Undisclosed,Equity,No,Yes,No,2021,Yes,10,2023
Oystr Finance,Nigeria,fintech,January,,ARM Lagos Techstars,Undisclosed,Equity,Yes,Yes,No,2021,Yes,15,2023
PaddyCover,Nigeria,fintech,January,"100,000.00",Catalyst Fund,Undisclosed,Equity,No,Yes,No,2019,Yes,11,2023
Patika,Kenya,fintech,January,,WeFunder,Undisclosed,Equity,No,Yes,No,2021,Yes,6,2023
Payday,Rwanda,fintech,March,"3,000,000.00","led by Moniepoint (formerly TeamApt) with participation from HoaQ, DFS Lab’s Stellar Africa Fund, and angel investors such as Dare Okoudjou and Tola Onayemi.",Seed,Equity,No,Yes,No,2021,Yes,42,2023
Payfi,Nigeria,fintech,October,,Techstars,Undisclosed,Equity,No,Yes,No,2019,Yes,21,2023
Paysika,Senegal,fintech,,,LoftyInc ,Pre-seed,Equity,No,Yes,No,2020,Yes,27,2023
Peach Payments,South Africa,fintech,April,"31,000,000.00",Apis Partners,Series A,Equity,No,No,Yes,2012,Yes,133,2023
Pennee,Nigeria,fintech,June,,Techstars,Undisclosed,Equity,Yes,Yes,No,2019,Yes,11,2023
Peppa,Nigeria,fintech,January,,ARM Lagos Techstars,Undisclosed,Equity,Yes,Yes,No,2021,Yes,11,2023
Peslac,Kenya,fintech,December,,Founders Factory Africa,Undisclosed,Equity,Yes,Yes,No,2023,Yes,11,2023
Proxalys,Senegal,fintech,October,,216 Capital,Undisclosed,Equity,No,Yes,No,2021,No,12,2023
Qardy,Egypt,fintech,May,,500 Global,Undisclosed,Equity,No,Yes,No,2022,Yes,12,2023
Raise,Kenya,fintech,May,,Carta,Undisclosed,Equity,No,Yes,No,2018,Yes,18,2023
Reeple,Nigeria,fintech,September,,Techstars,Undisclosed,Equity,No,Yes,No,2022,Yes,6,2023
Renda,Nigeria,fintech,,,"Founders Factory Africa, Techstars Toronto, Magic Fund, and Golden Palm Investments",Pre-seed,Equity,No,Yes,No,2021,Yes,69,2023
Revio,South Africa,fintech,September,"520,000.00","led by leading fintech fund QED Investors, which was joined by Partech and continued participation from Revio’s existing investors – Speedinvest, RaliCap, and Everywhere VC.",Seed,Equity,Yes,Yes,No,2020,No,22,2023
Root,South Africa,fintech,September,"1,500,000.00",Invenfin,Undisclosed,Equity,No,Yes,No,2016,No,91,2023
Rubyx,Senegal,fintech,,,Saviu Ventures,Undisclosed,Equity,No,Yes,Yes,2018,No,22,2023
Rwazi,Mauritius,fintech,March,"4,000,000.00",led by Bonfire Ventures and saw participation from Newfund Capital and Alumni Ventures.,Seed,Equity,No,Yes,No,2021,No,40,2023
Salad,Nigeria,fintech,January,,ARM Lagos Techstars,Undisclosed,Equity,No,Yes,No,2022,Yes,22,2023
Sehatech,Egypt,fintech,September,"850,000.00",A15 and Beltone Venture Capital,Undisclosed,Equity,No,Yes,No,2022,No,25,2023
Simply Financial Services,South Africa,fintech,October,,Hollard,Undisclosed,Equity,No,Yes,No,2016,No,49,2023
Smile ID,Nigeria,fintech,February,"20,000,000.00","led by Costanoa and Norrsken22, with participation from Commerce Ventures, Courtside Ventures, Two Culture Capital, Valuestream Ventures, Intercept Ventures, Latitude, Future Africa, and 500 Fintech.",Series B,Equity,No,Yes,Yes,2017,No,70,2023
Stitch,South Africa,fintech,October,"25,000,000.00","led by Ribbit Capital, and included existing investors including PayPal Ventures, The Raba Partnership and CRE Venture Capital. Several new investors have also joined, including 9 Yards Capital. ",Series A,Equity,No,Yes,No,2021,No,93,2023
Storspay,Nigeria,fintech,April,"320,000.00",Techstars,Undisclosed,Equity,No,Yes,No,2022,Yes,2,2023
Surge Africa,Nigeria,fintech,December,"120,000.00",Techstars,Undisclosed,Equity,No,Yes,No,2013,Yes,2,2023
Swahilies,Tanzania,fintech,February,"50,000.00",The Baobab Network,Undisclosed,Equity,No,Yes,No,2020,Yes,6,2023
Trade Lenda,Nigeria,fintech,January,"520,000.00","Sovereign Capital, ARM Labs, and Expert Dojo, as well as a couple of Nigeria-based angel investors.",Pre-seed,Equity,No,Yes,No,2021,Yes,11,2023
Tuma,DRC,fintech,June,"500,000.00","Visa, Visible Hands, Social Justice Fund",Undisclosed,Equity,No,Yes,No,2021,No,3,2023
Tyme,South Africa,fintech,May,"77,800,000.00",Norrsken22 and Blue Earth Capital,Pre-Series C,Equity,Yes,Yes,No,2012,No,127,2023
VaultPay,DRC,fintech,August,"500,000.00",Y Combinator,Undisclosed,Equity,No,Yes,No,2023,Yes,3,2023
Veend,Nigeria,fintech,December,"120,000.00",Techstars,Undisclosed,Equity,No,Yes,No,2021,Yes,20,2023
Vittas,Nigeria,fintech,January,,ARM Lagos Techstars,Undisclosed,Equity,No,No,Yes,2019,Yes,15,2023
Waza,Nigeria,fintech,January,"500,000.00",YC,Undisclosed,Equity,No,Yes,No,2022,Yes,9,2023
Woka,Nigeria,fintech,May,,Tekedia Capital,Pre-Seed,Equity,No,Yes,No,2022,No,5,2023
YMO,Guinea,fintech,March,"3,000,000.00","Breega, INCO, Angel Investors",Seed,Equity,No,Yes,No,2019,No,53,2023
Zeeh Africa,Nigeria,fintech,May,,Tekedia Capital,Pre-Seed,Equity,No,Yes,No,2022,No,14,2023
Zofi Cash,Uganda,fintech,May,"1,000,000.00",Advancly,Pre-seed,Equity,No,Yes,No,2021,Yes,14,2023
Zone,Nigeria,fintech,August,,Tofino Capital,Undisclosed,Equity,No,Yes,No,2008,No,257,2023
Fast Credit,Nigeria,e-commerce and retail-tech,June,"3,600,000.00",,Undisclosed,Debt,No,Yes,No,2014,No,116,2023
24seven,Nigeria,e-commerce and retail-tech,December,"120,000.00",Techstars,Undisclosed,Equity,No,Yes,No,2021,Yes,4,2023
Afrigility,Kenya,e-commerce and retail-tech,June,"50,000.00",The Baobab Network,Undisclosed,Equity,No,Yes,No,2022,Yes,8,2023
ANKA,Ivory Coast,e-commerce and retail-tech,September,"5,000,000.00","IFC, Proparco and the French Public Investment Bank",Pre-Series A,Equity,No,Yes,No,2016,Yes,117,2023
Ariika,Egypt,e-commerce and retail-tech,September,,Beltone Venture Capital,Series A ,Equity,No,Yes,No,2016,No,69,2023
Awfar,Egypt,e-commerce and retail-tech,November,,Value Maker Studio,Undisclosed,Equity,No,Yes,No,2020,Yes,47,2023
Badili,Kenya,e-commerce and retail-tech,March,,Renew Capital,Undisclosed,Equity,No,Yes,No,2021,No,25,2023
Beauty Hut,Nigeria,e-commerce and retail-tech,December,"120,000.00",Techstars,Undisclosed,Equity,Yes,Yes,No,2023,Yes,5,2023
BigStore,Kenya,e-commerce and retail-tech,December,,,Undisclosed,Equity,No,Yes,No,2023,No,2,2023
Chari,Morocco,e-commerce and retail-tech,"February, May, July, November","2,500,000.00","Orange Ventures (February), Plug and Play (May), Verod-Kepple Africa Ventures (VKAV) (July), UM6P Ventures (November)",Undisclosed,Equity,Yes,Yes,No,2020,Yes,61,2023
Copia Global,Kenya,e-commerce and retail-tech,December,"20,000,000.00","Enza Capital, LGT, Goodwell Investments, U.S. International Development Finance Corporation (DFC), DEG, ELEA, Perivoli Foundation, Sorenson Impact Foundation",Series C,Equity,Yes,No,Yes,2010,No,878,2023
Dabchy,Tunisia,e-commerce and retail-tech,,,LoftyInc ,Undisclosed,Equity,Yes,Yes,No,2016,Yes,23,2023
Djoli,Ivory Coast,e-commerce and retail-tech,July,,Saviu Ventures,Pre-seed,Equity,No,Yes,No,2023,No,3,2023
Drest,Tunisia,e-commerce and retail-tech,May,"336,000.00",216 Capital Ventures,Undisclosed,Equity,No,Yes,No,2020,No,21,2023
Eze,Nigeria,e-commerce and retail-tech,June,"3,700,000.00","led by Right Side Capital Management, with participation from C2 Ventures, Boro Capital, EVPI Investments and other angel investors",Seed,Equity,No,Yes,No,2018,No,84,2023
Gahez,Egypt,e-commerce and retail-tech,February,,LoftyInc ,Seed,Equity,No,Yes,No,2021,Yes,50,2023
Intella,Egypt,e-commerce and retail-tech,October,"3,400,000.00","Hala Ventures, Wa’ed Ventures, 500 Global, INSEAD Global Angel & Investment Network, Angel Investors",Pre-Series A,Equity,Yes,Yes,No,2021,Yes,35,2023
Keza,Nigeria,e-commerce and retail-tech,January,,ARM Lagos Techstars,Undisclosed,Equity,Yes,Yes,No,2022,Yes,16,2023
Kokoberna,Nigeria,e-commerce and retail-tech,January,,WeFunder,Undisclosed,Equity,Yes,Yes,No,2012,No,1,2023
Lengo AI,Senegal,e-commerce and retail-tech,October,,"Acasia Ventures and Ventures Platform, and joined by P1 Ventures, Launch Africa, Voltron Capital and a number of other VCs and angel investors",Pre-seed,Equity,No,Yes,Yes,2022,Yes,24,2023
Livecopper,South Africa,e-commerce and retail-tech,September,,Moa Holdings,Undisclosed,Equity,No,Yes,No,2012,No,16,2023
Lnko,Morocco,e-commerce and retail-tech,May,,500 Global,Undisclosed,Equity,Yes,Yes,No,2020,Yes,25,2023
Mainstack,Nigeria,e-commerce and retail-tech,June,,Techstars,Undisclosed,Equity,No,Yes,No,2021,Yes,19,2023
MAKA ,Nigeria,e-commerce and retail-tech,December,"2,650,000.00","4DX Ventures and Janngo, with additional backing from Palm Drive Capital. It also includes angel investor Jonathan Shipman and executives from delivery platform Wolt. ",Pre-seed,Equity,Yes,Yes,No,2021,No,30,2023
Mano Africa,Angola,e-commerce and retail-tech,March,,Launch Africa Ventures,Undisclosed,Equity,No,Yes,No,2020,No,220,2023
MarketForce,Kenya,e-commerce and retail-tech,August,,WeFunder,Undisclosed,Equity,No,Yes,No,2018,No,284,2023
Matta,Nigeria,e-commerce and retail-tech,July,,Tofino Capital,Undisclosed,Equity,No,Yes,No,2022,No,28,2023
Mobile Masr,Egypt,e-commerce and retail-tech,February,"500,000.00",,Seed,Equity,No,Yes,No,2021,No,15,2023
Omnibiz,Nigeria,e-commerce and retail-tech,June,,Aruwa Capital,Undisclosed,Equity,No,Yes,No,2019,No,644,2023
Powered By People,Kenya,e-commerce and retail-tech,March,"8,000,000.00","Altos Ventures, Golden Ventures, Susa Ventures",Series A,Equity,Yes,Yes,No,2018,No,57,2023
Pricepally,Nigeria,e-commerce and retail-tech,November,"1,300,000.00","Samurai Incubate, SOSV, ELEA, Hi2 Global, Chui Ventures, and David Mureithi, the former MD of Unilever West Africa. ",Seed,Equity,No,Yes,No,2019,Yes,46,2023
Rabbit,Egypt,e-commerce and retail-tech,May,,500 Global,Undisclosed,Equity,No,Yes,No,2021,Yes,204,2023
Rentoza,South Africa,e-commerce and retail-tech,September,"6,000,000.00","Alitheia IDF, Vumela Fund",Undisclosed,Equity,No,Yes,No,2017,No,100,2023
Sabi,Nigeria,e-commerce and retail-tech,May,"38,000,000.00","CommerzVentures, Stockholm-based but Africa-focused growth-stage investor Norrsken22, U.S.-based growth-stage funds Fluent Ventures and Proof VC and pan-African early-stage investors CRE Venture Capital and Janngo Capita",Series B,Equity,Yes,Yes,No,2021,No,250,2023
Shop Zetu,Kenya,e-commerce and retail-tech,March,"1,000,000.00","Chui Ventures, Roselake Ventures, Launch Africa, Logos Ventures",Pre-seed,Equity,Yes,Yes,No,2019,No,33,2023
SLE3TI,Morocco,e-commerce and retail-tech,August,,Cash Plus VC,Undisclosed,Equity,No,Yes,No,2020,No,14,2023
Sodishop,Mali,e-commerce and retail-tech,January,"18,000.00",Startupbootcamp AfriTech,Undisclosed,Equity,No,Yes,No,2019,Yes,13,2023
tappi,Kenya,e-commerce and retail-tech,December,"1,500,000.00","led by Mercy Corps Ventures and Chui Ventures, with participation from Digital Currency Group, SOSV, Resilience17, growX ventures, Orbit Startups and Reflect Ventures. The investment also saw contributions from angel investors and advisors from global tech companies, including Google, Salesforce, Zendesk and the financial sector. ",Pre-seed,Equity,No,Yes,No,2022,Yes,26,2023
The Daily Sale Shop,Zimbabwe,e-commerce and retail-tech,January + December,,"Launch Africa Ventures (January), Techstars (December)",Undisclosed,Equity,Yes,Yes,No,2021,Yes,7,2023
Traction,Nigeria,e-commerce and retail-tech,August,"6,000,000.00","led by Multiply Partners and Ventures Platform, with participation from P1 Ventures",Seed,Equity,No,Yes,No,2018,Yes,207,2023
Verofax,Zambia,e-commerce and retail-tech,January,,Launch Africa Ventures,Undisclosed,Equity,No,Yes,No,2018,No,34,2023
Vutia,Kenya,e-commerce and retail-tech,February,"50,000.00",The Baobab Network,Undisclosed,Equity,No,Yes,No,2021,Yes,7,2023
WayUp,Egypt,e-commerce and retail-tech,November,,"Beltone Venture Capital, Index Sports Fund, and other strategic angel investors",Seed,Equity,Yes,Yes,No,2021,No,27,2023
Winshot,Tunisia,e-commerce and retail-tech,November,,216 Capital,Undisclosed,Equity,Yes,Yes,No,2019,Yes,6,2023
Yebo Fresh,South Africa,e-commerce and retail-tech,January,"4,500,000.00","Enza Capital, with participation from Swiss impact investor Elea Foundation, and Harvest, the local investment fund of Endeavor. E4E Africa has also re-invested.",Pre-Series A,Equity,Yes,Yes,No,2018,No,67,2023
Yoonema,Senegal,e-commerce and retail-tech,January,"18,000.00",Startupbootcamp AfriTech,Undisclosed,Equity,No,Yes,No,2019,Yes,8,2023
Remedial Health,Nigeria,e-health,August,"12,000,000.00","co-led by US-based venture capital firm QED Investors and Ventures Platform, the latter of which has now invested in Remedial Health at every funding stage. Y Combinator, Tencent and Gaingels also invested after participating in previous rounds.",Series A,Debt/Equity,No,Yes,No,2020,Yes,109,2023
10mg Pharma,Nigeria,e-health,October,"18,000.00",Startupbootcamp AfriTech,Undisclosed,Equity,No,Yes,No,2022,Yes,20,2023
Access Afya,Kenya,e-health,,,,Undisclosed,Equity,Yes,Yes,No,2018,No,54,2023
Afya Pamoja,Tanzania,e-health,June,,100x Impact Accelerator,Undisclosed,Equity,No,Yes,No,2020,Yes,14,2023
Berry Health,Ghana,e-health,July,"1,600,000.00",Lightspeed Venture Partners and General Catalyst,Pre-seed,Equity,No,Yes,No,2022,No,13,2023
Caafisom,Somalia,e-health,May,,"The Takeoff Fund, Tofino Capital",Seed,Equity,No,Yes,No,2021,No,3,2023
Cancer Mutual,South Africa,e-health,March,,Techstars,Undisclosed,Equity,No,Yes,No,2021,Yes,17,2023
Chefaa,Egypt,e-health,December,"5,250,000.00","co-led by South Africa’s Newtown Partners and Japan’s Global Brain, and also featured GMS Capital Partners LLC, Verod-Kepple Africa Ventures, and M3",Undisclosed,Equity,Yes,Yes,No,2017,Yes,121,2023
Chekkit,Nigeria,e-health,April,,"Adaverse, RTA, HoaQ, Launch Africa Ventures, and Blockchain Founders Fund",Undisclosed,Equity,No,Yes,No,2018,Yes,15,2023
Chestify AI Labs,Ghana,e-health,January,"18,000.00",Startupbootcamp AfriTech,Undisclosed,Equity,No,Yes,No,2020,Yes,7,2023
Clafiya,Nigeria,e-health,July,"610,000.00","Norrsken, Acquired Wisdom Fund (AWF), Hustle Fund, Voltron Capital, Microtraction, Ajim Capital, HoaQ, Bold Angel Fund, Shivdasani Family, Angel investors",Pre-seed,Equity,Yes,Yes,No,2020,Yes,17,2023
Clinify,Nigeria,e-health,February,,"Thin Air Labs, HaloHealth, Angel Investors",Seed,Equity,No,Yes,No,2020,No,18,2023
DataPathology,Morocco,e-health,June,"1,000,000.00",Azur Innovation Fund,Undisclosed,Equity,No,Yes,No,2020,No,3,2023
Eight Medical,Nigeria,e-health,January + December,"220,000.00","Catalyst Fund (January), Techstars (December)",Undisclosed,Equity,No,Yes,No,2021,Yes,16,2023
Envisionit Deep AI,South Africa,e-health,February,"1,650,000.00","New GX Ventures SA, with an additional undisclosed raise from the GIIG Africa Fund",Undisclosed,Equity,Yes,Yes,No,2019,Yes,11,2023
Famasi,Nigeria,e-health,February,,"led by Microtraction with participation from Ore Ogundipe, GetEquity SPV, Isaac Ewaleifoh, Ibrahim Bello, Ayobami Olufadeji, Yusuf Abdulmalik, Adeline Okoh, Echezona Uzoma, Lanre Adelowo, Prosper Otemuyiwa and Nadayar Enegesi.",Pre-seed,Equity,Yes,Yes,No,2021,Yes,12,2023
Field Intelligence,Nigeria,e-health,February,"6,700,000.00",,Undisclosed,Equity,No,Yes,No,2015,No,70,2023
Healthcenta,Kenya,e-health,December,,Founders Factory Africa,Undisclosed,Equity,Yes,Yes,No,2019,Yes,1,2023
Helium Health,Nigeria,e-health,June,"30,000,000.00",AXA IM Alts and 23andMe’s Anne Wojcicki,Series B,Equity,Yes,Yes,No,2015,No,131,2023
Isupply,Egypt,e-health,November,,"Disruptech, Axian Investment, Angel Investors",Pre-Series A,Equity,No,Yes,No,2021,No,39,2023
JEAY Healthcare,Nigeria,e-health,May,,n.a.,Pre-Seed,Equity,No,Yes,No,2022,No,7,2023
Kasha,Rwanda,e-health,July,"21,000,000.00","led by Knife Capital, a pan-African VC based out of South Africa, with participation from FinnFund, DFC, Altree Capital, Tim Koogle and Pam Scott, Beyond Capital Ventures, Bamboo Capital’s BLOC Smart Africa Fund, Five35 Ventures and other new and existing investors. ",Series B,Equity,Yes,Yes,Yes,2016,No,163,2023
Kena Health,South Africa,e-health,June,"2,000,000.00","NEXT176, Tofino Capital",Seed,Equity,No,Yes,No,2021,No,33,2023
Lapaire,Ivory Coast,e-health,,,Beyond Capital Ventures,Undisclosed,Equity,No,Yes,No,2018,No,262,2023
LyfPlus,Tanzania,e-health,October,"18,000.00",Startupbootcamp AfriTech,Undisclosed,Equity,No,Yes,No,2019,Yes,4,2023
Medikea,Tanzania,e-health,February,"50,000.00",The Baobab Network,Undisclosed,Equity,No,Yes,No,2022,Yes,11,2023
Mia Health,South Africa,e-health,October,,Savant Fund Manager,Undisclosed,Equity,Yes,Yes,No,2021,No,5,2023
Monte Sereno Health,Nigeria,e-health,December,"200,000.00",WeFunder,Undisclosed,Equity,No,Yes,No,2020,No,1,2023
myDawa,Kenya,e-health,July,"20,000,000.00",Alta Semper Capital,Undisclosed,Equity,Yes,Yes,Yes,2016,No,70,2023
PBR Life Sciences,Nigeria,e-health,December,"120,000.00",Techstars,Undisclosed,Equity,No,Yes,No,2022,Yes,17,2023
PharmaServ,Nigeria,e-health,January,"18,000.00",Startupbootcamp AfriTech,Undisclosed,Equity,No,Yes,No,2019,Yes,12,2023
Primed Health,Nigeria,e-health,October,"18,000.00",Startupbootcamp AfriTech,Undisclosed,Equity,No,Yes,No,2020,Yes,19,2023
Quro Medical,South Africa,e-health,May,"1,300,000.00",Mineworkers Investment Company,Undisclosed,Equity,Yes,Yes,No,2018,Yes,38,2023
Response24,South Africa,e-health,September,,Salt Capital,Undisclosed,Equity,Yes,Yes,No,2019,No,8,2023
Rology,Egypt,e-health,August,,Philips Foundation,Undisclosed,Equity,No,Yes,No,2017,No,51,2023
TIBU Health,Kenya,e-health,March,,Health54,Pre-Series A,Equity,Yes,No,Yes,2018,No,58,2023
VitruvianMD,South Africa,e-health,August,"1,250,000.00","27four, Angel Investors",Seed,Equity,No,Yes,No,2020,No,6,2023
Waspito,Cameroon,e-health,November,"2,500,000.00","DP World through Newtown Partners, Saviu Ventures, AAIC Investment, Axian Ventures and CFAO’s Health54",Seed,Equity,No,Yes,No,2020,Yes,52,2023
Yodawy,Egypt,e-health,February,"16,000,000.00","Delivery Hero Ventures, Global Ventures, AAIC Investment, Dallah Albaraka, Middle East Venture Partners (MEVP), C-Ventures, and P1 Ventures.",Series B,Equity,No,Yes,No,2018,No,340,2023
Zoie Health,South Africa,e-health,June,,4DX Ventures and E Squared Investments,Pre-seed,Equity,Yes,Yes,No,2021,Yes,14,2023
Zuri ,Kenya,e-health,July,,Five35 Ventures,Undisclosed,Equity,Yes,Yes,No,2021,Yes,61,2023
Haul247,Nigeria,logistics,June,"3,000,000.00","Alitheia Capital via its uMunthu Fund, and also involves debt funding from Investment One",Seed,Debt/equity,No,Yes,No,2020,No,22,2023
Jetstream Africa,Ghana,logistics,January,"13,000,000.00","Proparco through the Digital Africa Bridge Fund, ASC VC, Octerra, Cauris, Senegal’s Wuri Ventures, Seed9, The MBA Fund, W Fund and family offices. Existing investors Alitheia IDF and Golden Palm also participated in the round. ",Series A,Debt/equity,Yes,Yes,Yes,2018,Yes,43,2023
beU Delivery,Ethiopia,logistics,July,"300,000.00",MiraclePlus,Undisclosed,Equity,Yes,Yes,No,2021,Yes,46,2023
BuuPass,Kenya,logistics,February + June,"1,300,000.00","Founders Factory Africa, FrontEnd Ventures,Adaverse, Gullit, Five35, Renew Capital, Change Com, XA Network, Ajim Capital, Artha Ventures, Daba Finance, Google For Startups Black Founders Fund, Angel Investors (February), Adaverse, Angel investors (June)",Pre-seed,Equity,Yes,Yes,Yes,2016,Yes,19,2023
Cargoplug (formerly Jand2Gidi),Nigeria,logistics,January,"18,000.00",Startupbootcamp AfriTech,Undisclosed,Equity,No,Yes,No,2013,Yes,12,2023
Cathedis,Morocco,logistics,January,"735,000.00","Afrimobility, CDC Invest",Pre-Series A,Equity,No,Yes,No,2019,Yes,33,2023
Chargel,Senegal,logistics,April,"2,500,000.00","Logos Ventures. Ventures Platform, Fondation Botnar, DFS Lab, Seedstars",Seed,Equity,No,Yes,No,2021,No,8,2023
CloudFret,Morocco,logistics,November,"2,100,000.00",AfriMobility and Azur Innovation Fund,Undisclosed,Equity,No,Yes,No,2021,Yes,11,2023
Cloudline,South Africa,logistics,December,"6,000,000.00","Schmidt Futures, Raba Partnership, Verod-Kepple Africa Ventures (VKAV), 4Di Capital, Angel Investors",Undisclosed,Equity,No,Yes,No,2017,No,26,2023
Colis,Morocco,logistics,June,"50,000.00",The Baobab Network,Undisclosed,Equity,No,Yes,No,2022,Yes,3,2023
